scene_id,category,before_outcome,before_iou,before_fp_px,before_tp_px,classifier_verdict,proba_oil,mean_unet_confidence,gated,after_outcome,after_iou,after_fp_px,after_tp_px
lookalike_00000,lookalike,false_positive,0.0,1957350,0,lookalike,0.22465311571422636,0.9709063768386841,False,correct,1.0,0,0
lookalike_00001,lookalike,false_positive,0.0,3243503,0,oil,0.009026565630831715,0.9797141551971436,True,false_positive,0.0,3243503,0
lookalike_00002,lookalike,false_positive,0.0,993600,0,lookalike,0.07436549026361576,0.9508482813835144,False,correct,1.0,0,0
lookalike_00003,lookalike,false_positive,0.0,1004,0,oil,0.5762339860879402,0.8023015260696411,False,false_positive,0.0,1004,0
lookalike_00004,lookalike,false_positive,0.0,64749,0,lookalike,0.2935775397470915,0.8729425072669983,False,correct,1.0,0,0
lookalike_00005,lookalike,false_positive,0.0,2192145,0,lookalike,0.07962979558885262,0.9593133926391602,False,correct,1.0,0,0
lookalike_00006,lookalike,false_positive,0.0,2898998,0,lookalike,0.006450927285213911,0.9736290574073792,False,correct,1.0,0,0
lookalike_00007,lookalike,false_positive,0.0,408870,0,oil,0.7959682618752435,0.8813154101371765,False,false_positive,0.0,408870,0
lookalike_00008,lookalike,false_positive,0.0,1989721,0,lookalike,0.012352256112298876,0.928997278213501,False,correct,1.0,0,0
lookalike_00009,lookalike,false_positive,0.0,1961213,0,lookalike,0.01961925446305355,0.942774772644043,False,correct,1.0,0,0
no_oil_00000,no_oil,false_positive,0.0,593,0,no_candidate_region,,,False,false_positive,0.0,593,0
no_oil_00001,no_oil,false_positive,0.0,41,0,no_candidate_region,,,False,false_positive,0.0,41,0
no_oil_00002,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00003,no_oil,false_positive,0.0,14,0,no_candidate_region,,,False,false_positive,0.0,14,0
no_oil_00004,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00005,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00006,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00007,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00008,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
no_oil_00009,no_oil,correct,1.0,0,0,no_candidate_region,,,False,correct,1.0,0,0
oil_00000,oil,correct,0.9553,34511,1958112,oil,0.04182690959928295,0.9777597188949585,True,correct,0.9553,34511,1958112
oil_00001,oil,correct,0.7252,35592,135327,lookalike,0.18792865502161143,0.9218652248382568,False,false_negative,0.0,0,0
oil_00002,oil,partial,0.2588,5898,151153,oil,0.9797804439350831,0.945472002029419,False,partial,0.2588,5898,151153
oil_00003,oil,correct,0.8176,94196,426830,oil,0.8772585056569506,0.9656269550323486,False,correct,0.8176,94196,426830
oil_00004,oil,correct,0.8168,67910,1511945,lookalike,0.1762057574168732,0.967211902141571,False,false_negative,0.0,0,0
oil_00005,oil,correct,0.964,52105,2486464,oil,0.05588988531719575,0.9848740696907043,True,correct,0.964,52105,2486464
oil_00006,oil,correct,0.9503,47040,1848917,oil,0.009960344738725029,0.9772677421569824,True,correct,0.9503,47040,1848917
oil_00007,oil,correct,0.8736,30599,232085,oil,0.8909710117794739,0.9595638513565063,False,correct,0.8736,30599,232085
oil_00008,oil,partial,0.1732,498779,104591,lookalike,0.35753973229557223,0.9107879996299744,False,false_negative,0.0,0,0
oil_00009,oil,correct,0.7044,29246,74591,oil,0.6335089814622099,0.9067884087562561,False,correct,0.7044,29246,74591
